date,infected
8/10/20,459430.5216
8/11/20,482604.9777
8/12/20,506553.3406
8/13/20,531299.0981
8/14/20,556790.9039
8/15/20,583035.3742
8/16/20,609975.7635
8/17/20,637602.7812
8/18/20,665852.5389
8/19/20,694690.77
8/20/20,724058.7107
8/21/20,753905.1646
8/22/20,784170.5247
8/23/20,814766.7525
8/24/20,845618.3101
8/25/20,876644.4889
8/26/20,907759.7678
8/27/20,938870.8215
8/28/20,969875.6801
8/29/20,1000676.794
8/30/20,1031174.139
8/31/20,1061265.966
9/1/20,1090849.562
9/2/20,1119786.626
9/3/20,1147995.453
9/4/20,1175378.161
9/5/20,1201840.549
9/6/20,1227288.686
9/7/20,1251592.715
9/8/20,1274668.375
9/9/20,1296467.301
9/10/20,1316918.127
9/11/20,1335956.272
9/12/20,1353486.982
9/13/20,1369439.568
9/14/20,1383826.447
9/15/20,1396615.615
9/16/20,1407783.156
9/17/20,1417287.993
9/18/20,1425073.754
9/19/20,1431215.604
9/20/20,1435722.629
9/21/20,1438610.996
9/22/20,1439893.946
9/23/20,1439528.402
9/24/20,1437636.935
9/25/20,1434260.377
9/26/20,1429447.484
9/27/20,1423242.265
9/28/20,1415628.216
9/29/20,1406736.319
9/30/20,1396665.576
10/1/20,1385411.768
10/2/20,1373040.463
10/3/20,1359685.895
10/4/20,1345333.879
10/5/20,1330086.595
10/6/20,1314047.5
10/7/20,1297205.487
10/8/20,1279680.703
10/9/20,1261550.416
10/10/20,1242810.051
10/11/20,1223581.232
10/12/20,1203918.162
10/13/20,1183833.084
10/14/20,1163428.102
10/15/20,1142741.735
10/16/20,1121808.233
10/17/20,1100697.728
10/18/20,1079442.674
10/19/20,1058087.06
10/20/20,1036675.705
10/21/20,1015242.898
10/22/20,993823.3632
10/23/20,972457.2635
10/24/20,951163.5156
10/25/20,929985.2409
10/26/20,908936.2149
10/27/20,888046.8886
10/28/20,867346.4369
10/29/20,846833.1175
10/30/20,826552.0991
10/31/20,806513.234
11/1/20,786713.696
11/2/20,767182.4492
11/3/20,747947.433
11/4/20,728995.2375
11/5/20,710334.6186
11/6/20,691973.2283
11/7/20,673929.4129
11/8/20,656229.8911
11/9/20,638847.0056
11/10/20,621786.4106
11/11/20,605050.9283
11/12/20,588642.6278
11/13/20,572585.0678
11/14/20,556877.7077
11/15/20,541498.0305
11/16/20,526450.0044
11/17/20,511732.4895
11/18/20,497343.865
11/19/20,483282.0698
11/20/20,469544.6413
11/21/20,456157.1974
11/22/20,443090.1703
11/23/20,430338.5002
11/24/20,417898.3602
11/25/20,405765.6868
11/26/20,393936.206
11/27/20,382409.219
11/28/20,371175.8613
11/29/20,360233.4062
11/30/20,349576.8885
12/1/20,339201.2399
12/2/20,329101.3073
12/3/20,319276.6902
12/4/20,309719.5275
12/5/20,300422.7262
12/6/20,291380.9046
12/7/20,282588.6691
12/8/20,274040.6263
12/9/20,265731.3928
12/10/20,257655.6996
12/11/20,249813.7135
12/12/20,242195.8228
12/13/20,234793.9928
12/14/20,227603.1091
12/15/20,220618.1108
12/16/20,213833.9957
12/17/20,207245.8242
12/18/20,200853.077
12/19/20,194638.0132
12/20/20,188600.776
12/21/20,182737.0526
12/22/20,177075.0627
12/23/20,171576.2521
12/24/20,166236.4406
12/25/20,161051.6428
12/26/20,156021.0508
12/27/20,151123.1645
12/28/20,146407.0667
12/29/20,141828.596
12/30/20,137376.8924
12/31/20,133049.2508
1/1/21,128863.1677
1/2/21,124820.9553
1/3/21,120891.4645
1/4/21,117074.707
1/5/21,113371.3152
1/6/21,109807.1146
1/7/21,106331.5079
1/8/21,102946.2913
1/9/21,99707.67189
1/10/21,96549.62953
1/11/21,93471.4052
1/12/21,90515.39841
1/13/21,87647.34615
1/14/21,84852.81484
1/15/21,82157.88939
1/16/21,79552.12026
1/17/21,77004.664
1/18/21,74560.50066
1/19/21,72188.52562
1/20/21,69870.04098
1/21/21,67654.10656
1/22/21,65495.67604
1/23/21,63386.27886
1/24/21,61377.91434
1/25/21,59416.06488
1/26/21,57507.86599
1/27/21,55679.48236
1/28/21,53884.29527
1/29/21,52168.632
1/30/21,50497.11125
1/31/21,48870.48147
2/1/21,47314.81273
2/2/21,45787.41327
2/3/21,44325.52057
2/4/21,42903.76477
2/5/21,41518.00252
2/6/21,40195.76111
2/7/21,38895.64859
2/8/21,37652.63336
2/9/21,36442.26743
2/10/21,35265.42134
2/11/21,34139.02732
2/12/21,33031.76534
2/13/21,31977.03374
2/14/21,30946.33889
2/15/21,29947.89567
2/16/21,28988.81816
2/17/21,28046.24513
2/18/21,27152.62631
2/19/21,26273.51802
2/20/21,25429.57702
2/21/21,24610.74094
2/22/21,23813.74678
2/23/21,23051.24064
2/24/21,22299.45044
2/25/21,21588.73652
2/26/21,20888.42799
2/27/21,20217.31879
2/28/21,19565.11982
3/1/21,18931.42765
3/2/21,18324.8348
3/3/21,17727.36923
3/4/21,17161.41311
3/5/21,16600.6679
3/6/21,16071.19574
3/7/21,15548.04469
3/8/21,15049.63021
3/9/21,14561.60897
3/10/21,14092.44208
3/11/21,13637.24374
3/12/21,13195.61847
3/13/21,12771.08386
3/14/21,12355.39259
3/15/21,11960.07938
3/16/21,11569.52041
3/17/21,11199.6224
3/18/21,10833.36679
3/19/21,10487.38832
3/20/21,10143.93078
3/21/21,9820.334057
3/22/21,9498.26167
3/23/21,9195.606771
3/24/21,8893.731015
3/25/21,8610.532221
3/26/21,8328.155904
3/27/21,8062.603752
3/28/21,7798.520223
3/29/21,7550.064135
3/30/21,7301.608046
3/31/21,7069.508247
4/1/21,6837.571603
4/2/21,6619.429554
4/3/21,6402.917193
4/4/21,6197.905176
4/5/21,5995.794132
4/6/21,5803.132572
4/7/21,5614.467369
4/8/21,5433.422113
4/9/21,5257.310354
4/10/21,5087.190091
4/11/21,4922.798332
4/12/21,4763.117913
4/13/21,4610.066783
4/14/21,4458.758628
4/15/21,4316.646717
4/16/21,4174.534806
4/17/21,4041.598515
4/18/21,3909.645321
4/19/21,3783.796875
4/20/21,3661.277401
4/21/21,3542.183323
4/22/21,3428.424151
4/23/21,3315.762423
4/24/21,3210.138065
4/25/21,3104.513707
4/26/21,3005.527689
4/27/21,2907.457193
4/28/21,2813.9294
4/29/21,2723.154139
4/30/21,2633.616088
5/1/21,2549.859998
5/2/21,2466.103907
5/3/21,2387.074894
5/4/21,2309.79577
5/5/21,2234.210382
5/6/21,2162.907827
5/7/21,2091.605271
5/8/21,2024.91837
5/9/21,1959.130577
5/10/21,1895.33003
5/11/21,1834.630818
5/12/21,1773.931606
5/13/21,1717.665196
5/14/21,1661.661264
5/15/21,1607.908018
5/16/21,1556.426578
5/17/21,1504.945139
5/18/21,1457.037091
5/19/21,1409.892275
5/20/21,1363.289143
5/21/21,1319.747348
5/22/21,1276.205553
,
